site,application,payment_method,sku,street,state,country,code,city,lang,login,shipping_method
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026551839@tomtomtest.com,ML_STD
TomTom-EMEA-Site,DE,ADYEN_HPP,1SC0.001.10,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,de_DE,ISH_MIXED_Perf_User_DE_1585026552451@tomtomtest.com,ML_STD
TomTom-EMEA-Site,PL,ADYEN_HPP,MUS.017.3M,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,pl_PL,ISH_MIXED_Perf_User_PL_1585026552948@tomtomtest.com,ML_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026553448@tomtomtest.com,STR_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026553943@tomtomtest.com,ML_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026554445@tomtomtest.com,ML_STD
TomTom-AMER-Site,CA,ADYEN_HPP,1SC0.002.06,234 Laurier Avenue West,ON,Canada,K1A 0G9,Ottawa,en_CA,ISH_MIXED_Perf_User_CA_1585026554939@tomtomtest.com,CA_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026555442@tomtomtest.com,ML_STD
TomTom-EMEA-Site,DE,ADYEN_HPP,1SC0.001.10,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,de_DE,ISH_MIXED_Perf_User_DE_1585026555940@tomtomtest.com,ML_STD
TomTom-EMEA-Site,PL,ADYEN_HPP,MUS.017.3M,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,pl_PL,ISH_MIXED_Perf_User_PL_1585026556441@tomtomtest.com,ML_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026557021@tomtomtest.com,STR_STD
TomTom-APAC-Site,NZ,ADYEN_HPP,MUS.025.03,362 Leith St,North Dunedin,New Zealand,9016,Dunedin,en_NZ,ISH_MIXED_Perf_User_NZ_1585026557525@tomtomtest.com,STR_STD
TomTom-AMER-Site,US,ADYEN_HPP,MUS.013.12,55 Chesswood Court,TX,United States,77566,Lake Jackson,en_US,ISH_MIXED_Perf_User_US_1585026558021@tomtomtest.com,ATC_STD
TomTom-AMER-Site,US,ADYEN_HPP,MUS.013.12,55 Chesswood Court,TX,United States,77566,Lake Jackson,en_US,ISH_MIXED_Perf_User_US_1585026558526@tomtomtest.com,ATC_STD
TomTom-AMER-Site,US,ADYEN_HPP,MUS.013.12,55 Chesswood Court,TX,United States,77566,Lake Jackson,en_US,ISH_MIXED_Perf_User_US_1585026559019@tomtomtest.com,ATC_STD
TomTom-EMEA-Site,GB,ADYEN_HPP,MUS.013.03,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,en_GB,ISH_MIXED_Perf_User_GB_1585026559518@tomtomtest.com,ML_STD
TomTom-AMER-Site,CA,ADYEN_HPP,1SC0.002.06,234 Laurier Avenue West,ON,Canada,K1A 0G9,Ottawa,en_CA,ISH_MIXED_Perf_User_CA_1585026560018@tomtomtest.com,CA_STD
TomTom-EMEA-Site,NL,ADYEN_HPP,1SDN.002.22,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,nl_NL,ISH_MIXED_Perf_User_NL_1585026560693@tomtomtest.com,ML_STD
TomTom-EMEA-Site,DE,ADYEN_HPP,1SC0.001.10,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,de_DE,ISH_MIXED_Perf_User_DE_1585026561194@tomtomtest.com,ML_STD
TomTom-EMEA-Site,PL,ADYEN_HPP,MUS.017.3M,2800 South Alabama Ave.,AL,Netherlands,6842AP,Arnhem,pl_PL,ISH_MIXED_Perf_User_PL_1585026561690@tomtomtest.com,ML_STD
TomTom-APAC-Site,AU,ADYEN_HPP,1SDN.69.00,Google Australia Pty Ltd. Leve,QLD,NSW 2009,2019,Sydney,en_AU,ISH_MIXED_Perf_User_AU_1585026562193@tomtomtest.com,STR_STD
